ID,IP,time,day,choice
SQ,122.139.1.109,2021年05月31日19:40:56,星期一,A
SrinceW,10.1.65.97,2021年06月01日12:43:25,星期二,A
ssssuuuu,172.20.98.79,2021年06月05日02:14:16,星期六,B
stonez,172.20.114.66,2021年05月31日20:05:29,星期一,A
survivor,172.58.171.158,2021年06月05日08:29:03,星期六,A
sweetmonkey,211.82.71.69,2021年06月04日11:25:44,星期五,B
Talutsai,111.196.244.255,2021年06月01日22:17:55,星期二,A
tangmo,172.20.1.183,2021年06月01日00:50:02,星期二,A
Tavstar,172.20.209.220,2021年05月31日22:02:46,星期一,A
Tool,223.104.42.119,2021年06月04日15:25:19,星期五,B
Tranquilsun,211.103.82.185,2021年06月03日06:46:15,星期四,A
tsiau,172.20.147.37,2021年06月01日00:58:57,星期二,A
Velpro,172.20.80.116,2021年06月01日19:28:21,星期二,B
vitiger,183.173.143.103,2021年05月31日19:34:34,星期一,A
viviss,117.136.38.93,2021年06月04日09:30:04,星期五,B
vvvvic,172.20.83.111,2021年06月02日09:33:39,星期三,B
watem,114.242.250.43,2021年06月07日01:33:47,星期一,A
webberjian,172.20.48.56,2021年06月06日00:20:40,星期天,B
wenxijc,108.160.194.186,2021年06月03日14:11:12,星期四,A
wky,10.128.0.61,2021年06月03日03:21:30,星期四,A
woctordho,132.239.27.50,2021年06月01日04:56:04,星期二,A
wuyuchuan,10.2.36.62,2021年06月01日09:22:27,星期二,A
xiaohehe,101.80.23.240,2021年06月02日21:55:15,星期三,A
XuLanTu,173.35.235.154,2021年06月07日03:39:03,星期一,A
xuziling,117.136.0.251,2021年06月07日12:23:07,星期一,B
yuanhuang,172.20.83.132,2021年05月31日19:42:39,星期一,A
YvonneLLL,10.2.220.93,2021年06月02日08:05:52,星期三,A
yydcj,10.3.243.157,2021年06月07日17:52:48,星期一,A
zaiqiang,172.20.146.186,2021年05月31日23:07:58,星期一,A
zaza,172.20.208.103,2021年05月31日20:08:04,星期一,A
ZBFSZX,172.20.33.118,2021年06月02日11:34:12,星期三,B
ZelmaYoung,172.20.50.225,2021年06月04日19:44:08,星期五,B
zinccat,10.2.73.223,2021年06月04日20:43:15,星期五,A
ZQM,210.73.76.97,2021年06月01日12:14:25,星期二,A
